email,nps,survey_year,primary_category,gender,age,total_sessions,follower_count,w2_active,m2_active,genres_books,genres_screenpla,genres_podcasts,first_app_open_d,user_type
0001,5,21,TV/Movies,Female,65+,127,1,TRUE,TRUE,"[""Romance"",""Whodunit""]","[""Comedy"",""Romantic Comedy"",""Romance"",""Drama"",""Fantasy"",""Whodunit""]","[""Science & Technology"",""TV & Movies""]",undefined,app_user
0002,5,21,Books,Male,45-54,3841,0,TRUE,TRUE,"[""Fantasy"",""Dark Fantasy"",""Tearjerkers"",""Comedy"",""Humor"",""Magic"",""Romance"",""Science Fiction"",""Horror"",""Dystopian Fiction""]","[""Action & Adventure"",""Drama""]",undefined,undefined,app_user
0003,5,21,Books,Female,45-54,801,11,TRUE,TRUE,"[""Young Adult"",""Thriller"",""Shocking Twists"",""Spy Thrillers"",""Psychological Thrillers"",""Historical Fiction"",""Classics"",""Tearjerkers"",""True Crime"",""Memoirs"",""British Classics"",""Coming of Age"",""Comedy""]","[""Comedy"",""Romantic Comedy"",""Dark Comedy"",""Spoofs and Mockumentaries"",""Drama"",""British Dramas"",""Period Dramas"",""Romance"",""Tearjerkers"",""Crime"",""True Crime"",""Heists"",""Superheroes"",""Comic Book Adaptations"",""Marvel"",""Thriller"",""Shocking Twists"",""Psychological Thrillers"",""Spy Thrillers"",""Action & Adventure"",""Action"",""Adventure"",""Reality"",""Competition"",""Documentary"",""Docuseries"",""Whodunit"",""Biopic""]","[""Comedy"",""Comedian"",""Crime"",""True Crime"",""Pop Culture"",""TV & Movies"",""Celebrities"",""Society & Culture"",""Unsolved Crime""]",2021-05-11T17:16:22,app_user
0004,6,21,Books,Female,25-34,195,0,TRUE,TRUE,"[""Fantasy"",""Romance"",""Historical Fiction"",""High Fantasy"",""Epic Fantasy"",""Magic"",""Dark Fantasy"",""Urban Fantasy""]",undefined,undefined,2021-07-11T00:50:15,app_user
0005,6,21,Books,Female,35-44,92,0,TRUE,TRUE,"[""Fantasy"",""Magic"",""Epic Fantasy"",""High Fantasy"",""Romance"",""Historical Fiction"",""Dystopian Fiction""]","[""Romance"",""Romantic Comedy"",""Drama"",""Family Friendly"",""Disney"",""Period Dramas"",""Family Dramas"",""Teen Romance"",""Fantasy"",""Magic"",""Epic Fantasy"",""Mind Bending""]",undefined,2021-07-07T05:55:37,app_user
0006,6,21,TV/Movies,Female,25-34,690,11,TRUE,FALSE,"[""Comedy"",""True Crime"",""Thriller""]",undefined,"[""Crime"",""Comedy"",""Unsolved Crime"",""True Crime"",""TV & Movies""]",2020-07-27T20:52:22,app_user
0007,6,21,Books,Female,25-34,114,1,TRUE,TRUE,"[""Fantasy"",""Horror"",""Classics"",""LGBTQ+"",""Whodunit"",""Paranormal"",""Slasher"",""British Classics"",""Science Fiction"",""Comedy"",""Humor"",""Magic"",""Time Travel"",""Historical Fiction"",""Dystopian Fiction"",""Outer Space"",""Thriller"",""Psychological Thrillers"",""Mystery"",""Shocking Twists"",""High Fantasy"",""Dark Fantasy"",""Epic Fantasy"",""Urban Fantasy""]","[""Comedy"",""Spoofs and Mockumentaries"",""Dark Comedy"",""Adult Cartoon"",""British Comedy"",""Period Dramas"",""British Dramas"",""Crime"",""Superheroes"",""Comic Book Adaptations"",""Marvel"",""Fantasy"",""Magic"",""Mind Bending"",""Dark Crime"",""Vigilante"",""Thriller"",""Psychological Thrillers"",""Suspense"",""Mystery"",""Horror"",""Supernatural"",""Slasher"",""Family Friendly"",""Disney"",""Sitcoms"",""Science Fiction"",""Outer Space"",""Time Travel"",""Robots"",""Anime"",""Action & Adventure"",""Action"",""Adventure"",""Documentary"",""Docuseries"",""LGBTQ+"",""Whodunit""]","[""Pop Culture"",""Society & Culture"",""Fiction"",""Comedy"",""Comedian"",""TV & Movies"",""Crime"",""True Crime"",""Music"",""History""]",undefined,app_user
0008,6,21,Books,Male,45-54,121,0,TRUE,TRUE,"[""Science Fiction"",""Dystopian Fiction"",""Historical Fiction"",""Outer Space"",""Fantasy"",""High Fantasy"",""Epic Fantasy"",""True Crime""]",undefined,"[""Crime"",""True Crime"",""Unsolved Crime"",""History"",""Fiction"",""Science & Technology"",""Technology"",""TV & Movies""]",undefined,app_user
0009,7,21,Books,Female,18-24,undefined,undefined,FALSE,FALSE,undefined,undefined,undefined,undefined,app_user
0010,7,21,Podcasts,Female,18-24,66,0,TRUE,TRUE,"[""Fantasy"",""Magic"",""Epic Fantasy"",""Comedy"",""Humor"",""Thriller"",""Mystery"",""Spy Thrillers"",""Science Fiction"",""Time Travel"",""Outer Space"",""Classics"",""British Classics"",""Poetry"",""Whodunit"",""Children's Books""]","[""Comedy"",""Romantic Comedy"",""British Comedy"",""Workplace Comedy"",""Superheroes"",""Marvel"",""Family Friendly"",""Disney"",""Science Fiction"",""Anime"",""Action & Adventure"",""Action"",""Adventure"",""Whodunit"",""Music"",""Survival"",""Sports"",""Baseball"",""Fantasy""]","[""Comedy"",""Fiction"",""History"",""Science & Technology"",""Science"",""Technology"",""News"",""Politics"",""Business""]",undefined,app_user
0011,7,21,Books,Female,18-24,null,null,null,null,null,null,null,null,newsletter
0012,7,21,TV/Movies,Female,55-64,88,0,FALSE,FALSE,undefined,undefined,undefined,2019-08-25T16:00:45,app_user
0013,7,21,TV/Movies,Female,18-24,133,1,FALSE,FALSE,"[""Self Help"",""Young Adult"",""Memoirs"",""Teen Romance"",""Comedy""]",undefined,undefined,2019-07-03T19:33:27,app_user
0014,8,21,Books,Female,18-24,525,0,TRUE,TRUE,"[""Romance"",""Young Adult"",""Coming of Age"",""Thriller"",""LGBTQ+"",""Fantasy""]","[""Drama"",""Family Dramas"",""Teen"",""High School"",""Comedy"",""Workplace Comedy""]",undefined,2021-07-06T06:51:36,app_user
0015,8,21,Books,Male,45-54,394,2,TRUE,TRUE,"[""Thriller"",""Mystery"",""Psychological Thrillers"",""Science Fiction"",""Dystopian Fiction"",""Time Travel"",""Horror"",""Paranormal"",""Whodunit"",""True Crime"",""Shocking Twists"",""Spy Thrillers""]","[""Thriller"",""Suspense"",""Shocking Twists"",""Horror"",""Mystery"",""Psychological Thrillers"",""Superheroes"",""Marvel"",""Science Fiction"",""Zombie"",""Dystopian"",""Time Travel"",""Outer Space"",""Alien"",""Action & Adventure"",""Action"",""Spy Thrillers"",""Western"",""Adventure""]",undefined,undefined,app_user
0016,8,21,TV/Movies,Male,25-34,7188,11,TRUE,TRUE,"[""Fantasy"",""Magic"",""High Fantasy"",""Dark Fantasy"",""Epic Fantasy"",""Comedy"",""Urban Fantasy"",""Humor"",""Comedian"",""Thriller"",""Shocking Twists"",""Mystery"",""Science Fiction"",""Dystopian Fiction"",""Time Travel"",""Outer Space"",""Historical Fiction"",""Classics"",""World War 2"",""Horror"",""Slasher"",""Paranormal"",""True Crime"",""Self Help"",""Cooking"",""Cookbooks"",""Psychology""]","[""Comedy"",""Workplace Comedy"",""Stoner Comedy"",""British Comedy"",""Dark Comedy"",""Spoofs and Mockumentaries"",""Adult Cartoon"",""Thriller"",""Suspense"",""Shocking Twists"",""Psychological Thrillers"",""Mystery"",""Horror"",""Supernatural"",""Slasher"",""Science Fiction"",""Outer Space"",""Time Travel"",""Robots"",""Zombie"",""Dystopian"",""Alien"",""Anime"",""Action & Adventure"",""Action"",""Adventure"",""War"",""Fantasy"",""Epic Fantasy"",""Magic"",""Mind Bending"",""Superheroes"",""Comic Book Adaptations"",""Marvel"",""Drama"",""Courtroom Dramas"",""Western""]",undefined,undefined,app_user
0017,8,21,Books,Other,18-24,428,8,TRUE,TRUE,"[""Fantasy"",""Science Fiction"",""High Fantasy"",""Epic Fantasy"",""Young Adult"",""Romance"",""Comedy"",""Historical Fiction"",""Classics"",""LGBTQ+"",""Poetry"",""Whodunit"",""Urban Fantasy"",""Magic"",""British Classics"",""Humor""]","[""Comedy"",""British Comedy"",""Fantasy"",""Family Friendly"",""Anime"",""Disney"",""Magic"",""Epic Fantasy"",""LGBTQ+"",""Action & Adventure"",""Whodunit"",""Adventure"",""Science Fiction""]","[""Crime"",""Comedy"",""Pop Culture"",""Fiction"",""History""]",undefined,app_user
